fullname,full_address,gpt-response
"Engineering Research Center of Digital Community, Ministry of Education","Beijing, 100124, China",Unknown
"Key Laboratory of Disaster Prevention and Structural Safety, Ministry of Education",China,Unknown
"Research Center of Blood Transfusion Medicine, Ministry of Education Key Laboratory of Laboratory Medicine, Department of Blood Transfusion, Zhejiang Provincial People’s Hospital, People’s Hospital of Hangzhou Medical College","Hangzhou, 310014, China",Hangzhou Medical College
"Key Laboratory of Sustainable Exploitation of Oceanic Fisheries Resources, Ministry of Education","Shanghai, 201306, China",Shanghai Ocean University
Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education,"Changchun, 130012, China",Jilin University
"Engin. Research Center of Metallurgical Auto. and Measurement Tech., Ministry of Education","Wuhan, 430081, China",Huazhong University of Science and Technology
Key Laboratory of Image Processing and Intelligent Control of Education Ministry of China,"Wuhan, 430074, China",Huazhong University of Science and Technology
"Key Laboratory of Remodeling-Related Cardiovascular Diseases, Ministry of Education, Beijing Institute of Heart Lung and Blood Vessel Diseases","Beijing, 100029, China",Beijing Institute of Heart Lung and Blood Vessel Diseases
"Key Lab. of Experimental Teratology, Ministry of Education","Jinan 250100, China",Shandong University
"Key Laboratory for Green Chemical Process of Ministry of Education, Wuhan Institute of Technology","Wuhan 430073, China",Wuhan Institute of Technology
"Ministry of Education, Engineering Research Center of Intelligent Technology for Geo-Exploration","Wuhan, 430074, China",Unknown
Ministry of Education Key Laboratory of Child Development and Disorders,"Chongqing, China",Chongqing Medical University
"Key Laboratory of Green Chemical Process of Ministry of Education, Key Laboratory of Novel Reactor and Green Chemical Technology of Hubei Province, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Joint International Laboratory of Green Buildings and Built Environments, Ministry of Education","Chongqing, China",Chongqing University
"Key Laboratory for Deep Processing of Major Grain and Oil, Ministry of Education","Wuhan, 430023, China",Unknown
"Key Lab of Broadband Wireless Communication and Sensor Network Technology, Ministry of Education","Nanjing, 210003, China",Southeast University
"Key Laboratory of Dairy Science, Ministry of Education","Harbin, 150030, China",Northeast Agricultural University
"College of Life Sciences, Sichuan Key Laboratory of Molecular Biology and Biotechnology, Key Laboratory of Resource Biology and Eco-Environment of Ministry of Education","Chengdu 610064, China",Sichuan University
"Engineering Research Center for Building Energy Environments & Equipments, Ministry of Education",China,Unknown
"Key Laboratory of Microsystems and Microstructures Manufacturing, Harbin Institute of Technology, Ministry of Education","Harbin 150080, China",Harbin Institute of Technology
"Key Laboratory of Tropical Biological Resource of Ministry of Education, Hainan Provincial Engineering Research Centre of Aquatic Resources Efficient Utilization in the South China Sea","Haikou, 570228, China",Hainan University
"Key Laboratory of Structural Engineering and Earthquake Resistance, Ministry of Education (XAUAT)","Xi'an, 710055, China",Xi'an University of Architecture and Technology
"Key Laboratory of Polyoxometalate Science, Ministry of Education Institute of Polyoxometalate Chemistry, Department of Chemistry","Changchun, Jilin 130024, China",Jilin University
Engineering Research Center OfIntelligent Perception and Autonomous Control Ministry of Education,"Beijing, 100124, China",Beijing University of Technology
"Key Lab. of In-fiber Integrated Optics, Ministry of Education",China,Unknown
"Operation Control and Efficiency Engineering Key Laboratory of Chinese, Ministry of Education","Xi'an 710049, China",Xi’an University of Technology
"Key Laboratory of Micro-Inertial Instrument and Advanced Navigation Technology, Ministry of Education","Nanjing, 210096, China",Nanjing University of Aeronautics and Astronautics
"Key Laboratory of CNC Equipment Reliability, Ministry of Education",China,Unknown
"Key Lab. of Cognitive Radio and Information Processing, The Ministry of Education, Guilin Univ. of Electronic Tech.","Guilin 541004, China",Guilin University of Electronic Technology
"Key Laboratory of Cluster Science, Ministry of Education of China, Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Engineering Research Center of Flax Processing Technology, Ministry of Education","Qiqihar, 161006, China",Qiqihar University
"Key Laboratory of Renal Disease, Ministry of Education","Beijing, 100034, China",Peking University
"Key Laboratory of Spacecraft Design Optimization and Dynamic Simulation Technologies, Ministry of Education",China,Unknown
"Ministry of Education, Key Laboratory of Child Development and Disorders",China,Unknown
"Key Laboratory of Epidemiology, Ministry of Education",China,Unknown
"Key Laboratory for Urban and Architectural Heritage, Ministry of Education","Nanjing 210096, China",Southeast University
"Key Laboratory of Textile Science Technology, Ministry of Education","Shanghai, China",Donghua University
The Engineering Research Centre of GIS Technology in Western China of Ministry of Education,"Kunming, China",Unknown
Key Laboratory of Advanced Textile Composites of Ministry of Education,"Tianjin, 300387, China",Tianjin Polytechnic University
"Tianjin Key Laboratory of Advanced Joining Technology, Key Lab of Advanced Ceramics and Machining Technology of Ministry of Education","Tianjin, 300072, China",Tianjin University
"Key Laboratory of Eco-Environment-Related Polymer Materials, Ministry of Education","Gansu 730070, China",Lanzhou University
"Department of Physiology and Pathophysiology, School of Basic Medical Sciences, Reference Laboratory of Education Ministry on Molecular Cardiology","Beijing 100083, China",Peking University
"Protein Science Laboratory, the Ministry of Education, Department of Biological Sciences and Biotechnology","Beijing, 100084, China",Tsinghua University
"The Key Laboratory of Pollution Control, Ecosystem Restoration in Industry Clusters of Ministry of Education","Guangzhou, 510006, China",South China University of Technology
"Ministry of Education Key Laboratory of Cluster Science, Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, Advanced Technology Research Institute (Jinan), School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Biotechnology and Bioresources Utilization, Ministry of Education","Dalian, 116600, China",Dalian Polytechnic University
"Key Laboratory for Green Chemical Process of Ministry of Education, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan 430073, Hubei, China",Wuhan Institute of Technology
"Key Laboratory of Marine Reservoir Evolution and Hydrocarbon Accumulation Mechanism, Chinese Ministry of Education","Changchun, 130061, China",Jilin University
Ministry of Education Engineering Research Centre for Intelligent Decision-Making & Information System Technologies,"Anhui, Hefei, 230009, China",University of Science and Technology of China
Key Laboratory of Concrete and Pre-Stressed Concrete Structures of the Ministry of Education,"Nanjing, 211189, China",Southeast University
"Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for Research and Development of Fine Chemicals","Guiyang 550025, China",Guizhou University
Key Laboratory of Tropical Diseases and Control of the Ministry of Education,"Guangzhou, 510080, China",Sun Yat-sen University
"Key Laboratory of Cardiovascular Remodeling and Function Research, Chinese Ministry of Education and Chinese Ministry of Health","Jinan 250012, China",Shandong University
"Key Laboratory of Complex Systems Modeling and Simulation, Ministry of Education","Beijing, China",Unknown
"Key Laboratory of High Altitude Medicine, Ministry of Education","Chongqing 400038, China",Unknown
"Key Laboratory of Geological Hazards on Three Gorges Reservoir Area, Ministry of Education","Yichang, 443002, Hubei Province, China",China University of Geosciences
"School of Pharmacy, Ministry of Education","Lanzhou, 730000, China",Lanzhou University
Key Laboratory for Ministry of Education of High Energy Density Materials,"Beijing, 100081, China",Peking University
"Key Lab. Environ. Change Nat. D., Education Ministry of China, BNU","100875, Beijing, China",Beijing Normal University
"Key Laboratory of Information Photonics and Optical Communications (BUPT), Ministry of Education, Beijing Univ. of Posts and Telecom (BUPT)","Beijing, P.O. Box 128, China",Beijing University of Posts and Telecommunications
"College of Materials Science and Engineering, Key Laboratory of Advanced Functional Materials, Ministry of Education","Beijing, 100022, China",Beijing University of Technology
"Engineering Research Center of Modern Chinese Medicine Discovery and Preparation Technique, Ministry of Education","Tianjin 300193, China",Tianjin University
"Key Laboratory of Metallogenic Prediction of Nonferrous Metals, Ministry of Education","Changsha, 410083, China",Central South University
"Key Laboratory of Micro-Systems and Micro-Structures Manufacturing, Ministry of Education","Harbin 150001, China",Harbin Institute of Technology
"Engineering Research Center of Optical Instrument and System, Ministry of Education, Shanghai Key Lab of Modern Optical System","Shanghai, 200093, China",University of Shanghai for Science and Technology
"Key Laboratory of Photoelectronic Imaging Technology and System, Ministry of Education, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Lab of Structures Dynamic Behaviour and Control (Harbin Institute of Technology), Ministry of Education","Harbin, 150090, China",Harbin Institute of Technology
"Key Laboratory of Gene Engineering, the Ministry of Education, State Key Laboratory for Biocontrol","Guangzhou, 510275, China",Sun Yat-sen University
"Key Laboratory of Green Extraction & Efficient Utilization of Light Rare-earth Resources, Ministry of Education","Baotou, 014010, China",Inner Mongolia University of Science and Technology
"Key Laboratory of Geo-Exploration Instrumentation, Ministry of Education","Changchun, 130026, China",Jilin University
"Shanghai Key Laboratory of Contemporary Optics System, Key Laboratory of Biomedical Optical Technology and Devices, Ministry of Education","Shanghai, China",Shanghai University
"Engineering Research Center of Chinese Medicine Resource, Ministry of Education","Beijing, 100193, China",Beijing University of Chinese Medicine
"Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, Key Laboratory for Green Chemical Process of the Ministry of Education, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Key Lab. of Biomedical Photonics, Ministry of Education, Huazhong Univ. of Sci./Technology","Wuhan, 430074, China",Huazhong University of Science and Technology
"Key Laboratory of Micro-systems and Micro-structures Manufacturing, Harbin Institute of Technology of the Ministry of Education","Harbin 150001, China",Harbin Institute of Technology
"Department of Medicinal Chemistry, Beijing Area Major Laboratory of Peptide and Small Molecular Drugs, Beijing Laboratory of Biomedical Materials, Engineering Research Center of Endogenous Prophylactic of Ministry of Education of China","10 Xi Tou Tiao, You An Men, Beijing, 100069, China",Unknown
"Collaborative Innovation Center of Inertial Fusion Sciences and Applications, Ministry of Education","Beijing, 100871, China",Peking University
"Key Laboratory of Photoelectronic Imaging Technology and System of Ministry of Education of China, School of Optoelectronics, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"The Key Laboratory for Optoelectronic Technology and Systems, Ministry of Education",China,Unknown
"Engineering Research Center of Digitized Textile and Apparel Technology, Ministry of Education","Shanghai, 201620, China",Donghua University
"Key Laboratory of System Control and Information Processing, Ministry of Education of China","Shanghai, 200240, China",Shanghai Jiao Tong University
"Key Laboratory of Functional Polymer Materials, Ministry of Education, Institute of Polymer Chemistry","Tianjin, 300071, China",Tianjin University
"Key Laboratory of Modern Teaching Technology, Ministry of Education","Xi'an, 710062, China",Shaanxi Normal University
"Key Laboratory of Clusters Science of Ministry of Education, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Cancer Prevention and Intervention, Ministry of Education",China,Unknown
"Key Laboratory of New Technology for Construction of Cities in Mountain Area, Ministry of Education, School of Civil Engineering, Chongqing Univ.","Chongqing, 400045, China",Chongqing University
"Key Laboratory of Automobile Materials, Ministry of Education, Department of Materials Science and Engineering","Changchun, 130025, China",Jilin University
"Key Laboratory of Geospace Environment and Geodesy, Ministry of Education","Wuhan, China",Wuhan University
"Centre for Quantum Physics, Key Laboratory of Advanced Optoelectronic Quantum Architecture and Measurement, Ministry of Education, School of Physics, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Eco-Environment-Related Polymer Materials, Ministry of Education","Lanzhou 730070, China",Lanzhou University
"Key Laboratory of Unconventional Metallurgy, Ministry of Education","Kunming, 650093, Yunnan, China",Unknown
"The Key Laboratory for Microbial Resources, Ministry of Education",China,Unknown
"School of Chemistry and Chemical Engineering, Key Laboratory of Cluster Science of Ministry of Education, Beijing Institute of Technology","South Zhongguancun Street # 5, Haidian District, Beijing, 100081, China",Beijing Institute of Technology
"Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, Key Laboratory of Cluster Science of Ministry of Education, School of Chemistry, Beijing Institute of Technology","100081, Beijing, China",Beijing Institute of Technology
"Research Center for Fruit and Vegetable Processing Engineering, Ministry of Education","Beijing, 100083, China",Unknown
"Frontiers Science Center for High Energy Material, Key Laboratory of Cluster Science Ministry of Education, Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, Advanced Research Institute of Multidisciplinary Science, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","No. 5, Zhongguancun South Street, Haidian District, Beijing, 100081, China",Beijing Institute of Technology
"Engineering Research Center of Digital Audio and Video, Ministry of Education, ECDAV","Beijing, China",Communication University of China
"Key Laboratory of Freshwater Fish Reproduction and Development (Ministry of Education), Key Laboratory of Aquatic Science of Chongqing","400715, China",Unknown
"Engineering Research Center of Applied Technology of Pharmacogenomics, Ministry of Education","Changsha, China",Central South University
"Key Laboratory of Optical Communication and Lightwave Technologies, Ministry of Education","Beijing, 100876, China",Beijing University of Posts and Telecommunications
"Department of Obstetrics and Gynecology, Key Laboratory of Birth Defects and Related Diseases of Women and Children, Ministry of Education",China,Unknown
"Key Laboratory of Geographical Information Sciences, Ministry of Education and School of Geographic Sciences, Institute of Eco-Chongming, East China Normal Univ.","Shanghai, 200241, China",East China Normal University
"Key Laboratory for Green Chemical Process of Ministry of Education, Wuhan Institute of Technology","Wuhan 430073, Xiongchu Road 693, China",Wuhan Institute of Technology
"Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology","Harbin, China",Harbin Institute of Technology
"Key Laboratory of Ecological and Recycling Metallurgy, Ministry of Education of China","Beijing 100083, China",University of Science and Technology Beijing
"Key Laboratory of Biometallurgy, Ministry of Education","Changsha, 410083, China",Central South University
"School of Chemistry and Environmental Engineering, Key Laboratory of Green Chemical Process of Ministry of Education, Engineering Research Center of Phosphorus Resources Development and Utilization of Ministry of Education, Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Key Laboratory for Industrial Biocatalysis, Ministry of Education, Institute of Biochemical Engineering, Department of Chemical Engineerin","Room 601, Yingshi Building, Beijing, 100084, China",Tsinghua University
"Hubei Novel Reactor & Green Chemical Technology Key Laboratory, Key Laboratory for Green Chemical Process of Ministry of Education, School of Chemistry and Environmental Engineering, Wuhan Institute of Technology","No. 693 Xiongchu Avenue, Hongshan District, Wuhan, 430074, Hubei, China",Wuhan Institute of Technology
"Key Laboratory of Molecular Engineering of Polymers, Ministry of Education, Department of Macromolecular Science","Shanghai, 200433, China",Fudan University
"Key Lab of Submarine Geosciences and Prospecting Techniques, Ministry Education","Qingdao, China",Unknown
"Key Laboratory of Theoretical Organic Chemistry and Functional Molecule of Ministry of Education, Hunan Provincial Key Lab of Advanced Materials for New Energy Storage and Conversion","Xiangtan, China",Xiangtan University
"MIIT Key Laboratory of Critical Materials Technology for New Energy Conversion and Storage, Key Laboratory of Microsystems and Microstructures Manufacturing, Ministry of Education, School of Chemistry and Chemical Engineering, Harbin Institute of Technology","Harbin, 150001, China",Harbin Institute of Technology
"Key Laboratory of Drug Quality Control and Pharmacovigilance, Ministry of Education","Nanjing Jiangsu 210009, China",China Pharmaceutical University
"The Key Laboratory of Industrial Biotechnology, Ministry of Education, School of Biotechnology","Wuxi, 214036, 170 Huihe Road, China",Jiangnan University
"Key Laboratory of Renewable Energy Technologies for Buildings, Ministry of Education","Jinan, China",Shandong Jianzhu University
Research Center of Highway Large Structure Engineering on Safety of Ministry of Education,"Shaanxi, Xi’an, 710064, China",Chang'an University
"Ministry of Education, Key Laboratory of Child Development and Disorders","Chongqing, China",Chongqing Medical University
Key Laboratory of Advanced Textile Composites of Ministry of Education,"Tianjin, China",Tianjin Polytechnic University
"Key Laboratory of Digital Life, Ministry of Education",China,Unknown
"Key Laboratory of Environmental Change and Natural Disaster, Ministry of Education of China","Beijing 100875, China",Beijing Normal University
"Key Laboratory of Computer Network and Information Integration, Ministry of Education",China,Unknown
"Key Laboratory of Functional Polymer Materials, The Ministry of Education of China, Research Center for Analytical Sciences","Tianjin 300071, China",Nankai University
"Key Lab. of Micro Inertial Instrum. and Adv. Navig. Technol., Min. of Educ.","Nanjing, 210096, China",Nanjing University of Aeronautics and Astronautics
"Key Laboratory of Functional Polymer Materials, Ministry of Education, College of Chemistry","Tianjin, 300071, China",Nankai University
"Key Laboratory of Ocean Remote Sensing, Ministry of Education of P.R.C.","Qingdao 266003, China",Ocean University of China
"Maize Breeding Engineering Research Center, Education Ministry","Beijing, 100094, China",Unknown
"Key Lab of Geo-Exploration and Instrumentation (Jilin Univ.), Ministry of Education","Changchun, 130061, China",Jilin University
"Engineering Research Center of Applied Technology of Pharmacogenomics, Ministry of Education","110 Xiangya Road, Changsha, 410078, China",Central South University
"Key Laboratory of Machine Intelligence and Advanced Computing, Ministry of Education","Guangzhou, China",Sun Yat-sen University
"Key Laboratory of Optoelectronic Devices and Systems, Ministry of Education and Guangdong Province","Shenzhen, 518060, China",Unknown
"Key Laboratory of Traffic Safety on Track, Ministry of Education","Changsha, Hunan, China",Central South University
"Key Laboratory of Photoelectronic Imaging Technology, System of Ministry of Education of China, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
Key Laboratory of Process Optimization and Intelligent Decision-making of the Ministry of Education,"Hefei, 230009, China",University of Science and Technology of China
"Department of Biomedical Engineering, Key Laboratory of Biomedical Engineering, Ministry of Education","310027 Hangzhou, Zheda Road 38, China",Zhejiang University
"Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology","Harbin, 150090, China",Harbin Institute of Technology
"School of Civil Engineering, Key Laboratory of New Technology for Construction of Cities in Mountain Area, Ministry of Education","Chongqing 400045, China",Chongqing University
"Key Laboratory of Machine Perception, Ministry of Education","Beijing, China",Peking University
"Key Laboratory of Combinatorial Biosynthesis and Drug Discovery, Ministry of Education, Hubei Province Engineering and Technology Research Center for Fluorinated Pharmaceuticals","Wuhan, 430071, China",Wuhan University
"Key Laboratory of Environment Change and Resources Use in Beibu Gulf, Ministry of Education","Nanning, 530001, China",Guangxi Normal University
"Key Laboratory of Animal Disease-Resistance Nutrition, Ministry of Education, Ministry of Agriculture and Rural Affairs, Key Laboratory of Sichuan Province","Sichuan, 611130, China",Sichuan Agricultural University
"Key Laboratory of Textile Science and Technology, Ministry of Education","Shanghai 201620, China",Donghua University
"Department of Civil Engineering, Key Laboratory of Structural Engineering and Vibration, China Education Ministry","Beijing, 100084, China",Tsinghua University
"Department of Chemistry, College of Chemistry and Chemical Engineering, Ministry of Education","Xiamen 361005, China",Xiamen University
"Department of Materials Science and Engineering, Key Laboratory of Automobile Materials, Ministry of Education","Changchun 130025, No. 142 Renmin Street, China",Jilin University
"Key Laboratory of Standardization of Chinese Medicines, Ministry of Education","Shanghai, 1200 Cailun Road, China",Unknown
"Ministry of Education, Key Laboratory of Building Safety and Energy Efficiency, College of Civil Engineering, Hunan Univ.","Changsha, 410082, China",Hunan University
"School of Automation, China Univ. of Geosci. Hubei Key Lab. of Adv. Control and Intelligent Automation for Complex Systems, Ministry of Education of Engineering Research Centre for Earth Exploration Intelligent Technology","Wuhan, China",China University of Geosciences
"Key Laboratory of Special Purpose Equipment and Advanced Processing Technology, Ministry of Education and Zhejiang Province","Hangzhou, Zhejiang, 310014, China",Zhejiang University
"Key Laboratory of Trans-scale Laser Manufacturing Technology, Ministry of Education","Beijing, 100124, China",Beijing Institute of Technology
"Key Laboratory of New Processing Technology for Nonferrous Metals and Materials, Ministry of Education","Guilin 541004, China",Guilin University of Technology
"The Key Laboratory of Engineering Structure of Heavy Railway, Ministry of Education","Changsha, 410075, China",Central South University
"Key Laboratory of Tropical Diseases and Translational Medicine of Ministry of Education & Department of Neurology, the Affiliated Hospital of Hainan Medical College","Haikou, China",Hainan Medical University
"Key Laboratory of Nonferrous Materials Science and Engineering, Ministry of Education","Changsha 410083, China",Central South University
